epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,230.421,2.02994,1.19768,1.16501,0.75494,0.84072,0.82198,0.3254,1.90398,1.02115,1.11048,0.0670457,0.000332872,0.000332872
2,461.444,1.92696,1.02017,1.12278,0.90018,0.86626,0.89154,0.3726,1.89791,0.93042,1.11098,0.0340325,0.000653014,0.000653014
3,694.816,1.89894,0.98027,1.10793,0.87922,0.85222,0.88925,0.3705,1.91428,0.96845,1.10388,0.00100612,0.000959957,0.000959957
4,914.87,1.8786,0.97551,1.10299,0.9009,0.88669,0.90753,0.38644,1.85579,0.91973,1.09098,0.0009406,0.0009406,0.0009406
5,1135.24,1.84942,0.93358,1.08989,0.90667,0.88094,0.89943,0.38104,1.88439,0.92302,1.1065,0.0009208,0.0009208,0.0009208
