epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.1812,2.59387,1.75745,1.37114,0.3,0.58989,0.4291,0.15889,2.25762,2.30287,1.28603,0.000654971,0.000654971,0.000654971
2,78.2088,2.62932,1.56939,1.4589,0.50732,0.56114,0.52689,0.19507,2.31598,1.57416,1.31572,0.00132131,0.00132131,0.00132131
3,135.482,2.4784,1.51092,1.33521,0.68393,0.71925,0.72966,0.28908,2.15405,1.25147,1.26663,0.00198636,0.00198636,0.00198636
